序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人-适用时间段,高精质-适用时间段,未孕女性-适用时间段,备孕女性-适用时间段,待产女性-适用时间段,产后女性-适用时间段,已育女性-适用时间段
1,,整体,增高,\t睡眠充足有利于在晚上深睡眠时出现生长激素分泌高峰。,充足睡眠,少睡眠，激素缺，睡饱饱，长高高,\t每天最好有8～10小时的睡眠。,/photo/shuimiannv.jpg,,,睡眠,睡眠,,睡眠,睡眠
2,,整体,增高,\t牛奶中含有促进睡眠的L-色氨酸。,睡前喝牛奶,喝牛奶，助安眠，睡前饮，可安神,\t睡前1小时喝杯牛奶可助睡眠。,/photo/niunai.jpg,,,睡前,睡前,,睡前,睡前
3,,整体,增高,\t现代人的生活节奏快、工作压力大，泡个热水澡能减少身体疲劳，缓解压力，提高睡眠质量。,泡热水澡,热水澡，减疲劳，缓压力，助安眠,\t泡澡时水温宜42度以下；可以在泡澡水中加入适量精油。,/photo/paozao.jpg,,,睡前,睡前,,睡前,睡前
4,,整体,增高,\t现代人的生活节奏快、工作压力大，泡脚能减少身体疲劳，缓解压力，提高睡眠质量。,睡前泡脚,热水澡，减疲劳，缓压力，助安眠,\t建议用木桶泡脚，水温40℃左右，泡15-20分钟。,/photo/mutongpaojiao.jpg,,,睡前,睡前,,睡前,睡前
5,,整体,增高,\t多晒太阳有利于促进身体物质合成，帮助人体获得维生素D。 ,多晒太阳,晒太阳，补钙质，增维D，助长高,\t别晒过头了，适度就行。,/photo/shaitaiyang.jpg,,,醒来-平静-起床,醒来-平静-起床,,醒来-平静-起床,醒来-平静-起床
6,,五官,眼睛浮肿,\t避免用眼过度。,勿过劳,眼睛肿，忌过度，勤休息，常闭目,\t工作1小时就休息一下眼睛，做做眼保健操，闭目养养神。,/photo/yanbaojiancao.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
7,,五官,眼睛浮肿,\t熬夜降低血液循环系统效率，使身体来不及将体内多余的废水排出去，水分滞留在微血管内，甚至回渗到皮肤中，便产生了膨胀浮肿现象。,不熬夜,不熬夜，促循环，眼浮肿，需早眠,\t白天尽量早点把事情做完，晚上早点上床休息。,/photo/buaoye.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
8,,五官,眼睛浮肿,\t促进眼部血液循环。,冷水洗脸,眼睛肿，因循环，用冷水，常洗面,\t洗脸的时候，使用冷水洗，可刺激眼部血液循环，达到消除浮肿的作用，热胀冷缩的原理大家也都知道，这是消除浮肿最快最简单的方法了。,/photo/lengshuixilian.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
9,,五官,眼睛浮肿,\t促进眼部血液循环。,用稍高的枕头,眼睛肿，因循环，用高枕，助安眠,\t检查一下自己平时睡的枕头，如果太低的话，就换一个稍高点的枕头吧。,/photo/zhentou.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
10,,五官,眼睛浮肿,\t喝酒后血液被酒精稀释，血液循环加快，导致血液与组织间隙间的渗透压加大，造成局部水肿。眼睑部的皮下组织是人体最松弛的体表部位，所以，水肿首先表现在这里。,睡前勿饮酒,入睡前，勿饮酒，促循环，去水肿,\t如果睡前实在想喝点东西的话，就把酒杯换成水杯吧。,/photo/buxujiu.png,睡前,睡前,睡前,睡前,睡前,睡前,睡前
