序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人适用时间段,高精质适用时间段,未孕女性适用时间段,"备孕女性
适用时间段","待产女性
适用时间段","产后女性
适用时间段","已育女性
适用时间段"
1,,整体,减肥塑形,\t沐浴不但可清洁身体，还可促进全身细胞的新陈代谢，提高内分泌腺的机能，减肥消脂，亦可消除神经紧张和疲劳。,沐浴法,常沐浴，促代谢，消脂肪，除疲劳。,\t水温在4 2℃～43℃左右，从胸口以下都要泡在水里，直到发汗后走出浴缸：等身体干了之后，再入浴泡到发汗，再出来。一直重复做5次。依个人体质的不同，一个月约可瘦4千克左右。,/photo/muyu.jpg,休闲4,,,,,,
2,,整体,减肥塑形,\t兴趣减肥法是在培养喜好的同时，达到修身养性、快乐减肥的效果。,唱歌,唱着歌，跳起舞，一边乐，一边瘦。,\t减肥专家经研究发现，一个人唱完一首歌后的氧气消耗量和跑完一百米后的氧气消耗量相当，也就是说唱一首歌等于跑了一百米。而且唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量，是平静情绪的好方法。,/photo/changge.jpg,休闲1,,,,,,
3,,整体,减肥塑形,\t兴趣减肥法是在培养自己喜好的同时，达到修身养性、快乐减肥的效果。,跳舞,唱着歌，跳起舞，一边乐，一边瘦。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu11.jpg,休闲3,,,,,,
4,,整体,减肥塑形,\t专家认为开怀大笑1分钟相当于运动45分钟。,大笑,"开怀笑，同运动，
减脂肪，精神悦。",\t坚持每天纵情大笑1-2分钟，能起到意想不到的减肥效果。,/photo/weixiao.jpg,休闲2,,,,,,
5,,整体,减肥塑形,\t吹气球法利用吸气和吹气，使胃产生饱足感，从而抑制大脑中的饥饿中枢，降低食欲，减少食物的摄入，以达到减肥的目的。吹气时，胸、腹、膈肌等处的肌肉都会参与运动，增加热量的消耗，从而减少脂肪的堆积,吹气球,吹气球，降食欲，消热量，减脂肪。,\t每天向气球里吹气，坚持一个月体重就会显著地下降。该法在饭前1小时进行效果较好。,/photo/chuiqiqiu.jpg,休闲1,,,,,,
6,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,逛街,促代谢，强身体，塑纤体，愉情绪。,\t逛街是一种很好的有氧运动，即让你在你不知不觉中锻炼了身体，减肥消脂，又愉悦了心情。,/photo/guangjie.jpg,休闲2,,,,,,
7,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,做家务,促代谢，强身体，塑纤体，愉情绪。,\t花些时间打扫或整理房间，花费一定的体力和心思，不仅给人一种耳目一新的感觉，还可以消耗大量热量，轻松甩掉脂肪。,/photo/zuojiawu.jpg,休闲3,,,,,,
8,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,郊游,消紧张，缓压力，松身心，生乌发。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/jiaoyou.jpg,休闲1,,,,,,
9,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,垂钓,消紧张，缓压力，松身心，生乌发。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,休闲2,,,,,,
10,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,唱歌,消紧张，缓压力，松身心，生乌发。,\t唱歌、唱戏时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge.jpg,休闲3,,,,,,
11,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,跳舞,消紧张，缓压力，松身心，生乌发。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu11.jpg,休闲3,,,,,,
12,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,读书看报,消紧张，缓压力，松身心，生乌发。,\t读书、看杂志可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu11.jpg,休闲4,,,,,,
13,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,做手工,消紧张，缓压力，松身心，生乌发。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,休闲1,,,,,,
14,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,涂鸦,消紧张，缓压力，松身心，生乌发。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,休闲2,,,,,,
15,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,绘画,陶性情，消疲劳，松身心，缓脱发。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,休闲1,,,,,,
16,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,涂鸦,陶性情，消疲劳，松身心，缓脱发。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,休闲2,,,,,,
17,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,练书法,陶性情，消疲劳，松身心，缓脱发。,\t练书法不仅能带来生理状态的松弛，也能帮助心理状态的宁静，有助于排除不良因素的干扰，达到养心安神、调节平衡的作用。,/photo/gangbizi.jpg,休闲3,,,,,,
18,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,垂钓,陶性情，消疲劳，松身心，缓脱发。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,休闲1,,,,,,
19,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,插花,陶性情，消疲劳，松身心，缓脱发。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,休闲3,,,,,,
20,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,摄影,陶性情，消疲劳，松身心，缓脱发。,\t摄影一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力。,/photo/shexiangji.jpg,休闲1,,,,,,
21,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,烹饪,陶性情，消疲劳，松身心，缓脱发。,\t不但能充实生活，增长自己的菅养知识和烹饪技巧，还能为家人带来健康和美的享受。,/photo/pengren.jpg,休闲2,,,,,,
22,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,做手工,陶性情，消疲劳，松身心，缓脱发。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,休闲4,,,,,,
23,,皮肤,皮肤暗黄,\t保持愉快乐观的精神，不但可以远离疾病，而且容颜可以变得靓丽许多。,开怀大笑,开怀笑，心情好，防疾病，靓容颜。,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,/photo/daxiao.jpg,休闲1,,,,,,
