序号,人群,问题分类,问题名称,宜食,推荐菜品食材,推荐主食食材,推荐早餐食材,推荐茶歇食材,禁食,禁用食材,禁用烹饪方法
1,,整体,减肥塑形,新鲜蔬菜和水果；宜清淡，宜食五谷杂粮；宜补充优质蛋白质。,豇豆、豆角、胡萝卜、油麦菜、小白菜、白菜、芥菜、芋头、红薯、菜花、紫菜、海带、银耳、洋葱、南瓜、山药、土豆、茄子、木耳、香菇、芹菜、生菜、卷心菜、西红柿、西兰花、菠菜、丝瓜、苦瓜、冬瓜,糯米、黑米、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米,糯米、黑米、黄米、绿豆、玉米面、小米、小麦、小麦粉、大米、粳米、牛奶、鸡蛋,牛奶、蜂蜜、猕猴桃、火龙果、杨桃、杨梅、香梨、菠萝、葡萄、芒果、香蕉、桑葚、红枣、西瓜、石榴、木瓜、苹果、草莓、香蕉,油腻食物；忌食含糖量较高的食物。,猪皮、羊肉、蚕豆、花生,
2,,整体,增高,富含蛋白质食物食物、富含维生素和纤维素的食物、富含矿物质的食物。,草鱼、鲈鱼、鲤鱼、鲫鱼、鲑鱼、罗非鱼、虾、猪肉、牛肉、羊肉、鸡肉、鹅肉、鸭肉、鸡蛋、豆腐、腐竹、猪肝、鸡肝、豇豆、豆角、胡萝卜、油麦菜、小白菜、白菜、芥菜、芋头、红薯、菜花、紫菜、海带、银耳、洋葱、南瓜、山药、土豆、茄子、木耳、香菇、芹菜、生菜、卷心菜、西红柿、西兰花,黄豆面、黄豆、黑豆、黑芝麻、黑米、小米、小麦、小麦粉、大米、大麦、粳米,黄豆面、黄豆、黑豆、黑芝麻、黑米、小米、小麦、小麦粉、大米、大麦、粳米、牛奶、鸡蛋,杏仁、核桃、芝麻桂圆、腰果、木瓜、苹果、葡萄、花生、猕猴桃、牛奶、荔枝、芒果、桃、蜂蜜、黑芝麻、酸奶、松子仁,糖果、碳酸饮料、垃圾食品。,碳酸饮料、糖果,
3,,五官,眼睛浮肿,清淡、利尿的食物。,冬瓜、香菇、黄瓜、菠菜、玉米、西兰花、芹菜、鸡肉、豌豆苗、海带,赤小豆、绿豆、玉米面、糙米、小麦、小麦粉、大麦、粳米、大米,牛奶、鸡蛋、赤小豆、绿豆、玉米面、糙米、小麦、小麦粉、大麦、粳米、大米,西瓜、枸杞、荷叶、苹果、木瓜、香蕉、柚子,盐或过咸食品，性寒滋腻、海腥发物和辛辣刺激性食物。,牛肉、羊肉、猪肉、牛肺、猪大肠、猪肺,油炸
4,,五官,眼球晦暗,含维生素A多的食物、乳制品、豆类、豆制品、富含维生素C的水果、贝类食物。,猪肝、虾、鸭肉、莲藕、荸荠、胡萝卜、菠菜、芹菜、丝瓜、玉米、冬瓜、芦笋、白萝卜、土豆、白菜、卷心菜、海带、西兰花、山药、西红柿、茄子、南瓜,黄米、黑米、小麦、小麦粉、大米、燕麦片、玉米面,黄米、黑米、小麦、小麦粉、大米、燕麦片、玉米面、牛奶、鸡蛋,菊花、枸杞、香梨、草莓、猕猴桃、柠檬、橙子、香蕉、红枣、火龙果、苹果、西瓜、李子、桃,辛辣刺激食物、温热类食物、油腻厚味食物。,腊肠、腊肉、鸡皮、猪肉、猪蹄、猪肘、蒜苗、蒜薹、尖椒、蜜枣、榴莲,
5,,五官,迎风流泪,含维生素A多的食物、多吃乳制品、豆类、豆制品、富含维生素C的水果、多吃贝类食物。,猪肝、虾、鸭肉、莲藕、荸荠、胡萝卜、菠菜、芹菜、西葫芦、丝瓜、裙带菜、玉米、冬瓜、芦笋、白萝卜、土豆、白菜、卷心菜、海带、西兰花、山药、西红柿、茄子、南瓜,黄米、黑米、小麦、小麦粉、燕麦片、荞麦、玉米面、大米,黄米、黑米、小麦、小麦粉、燕麦片、荞麦、玉米面、大米、鸡蛋、牛奶,菊花、枸杞、香梨、草莓、猕猴桃、柠檬、橙子、香蕉、红枣、火龙果、苹果、西瓜、李子、桃、杨梅、栗子,辛辣刺激食物，温热类食物，油腻厚味食物。,腊肠、腊肉、鸡皮、猪皮、蒜苗、尖椒,
6,,五官,眼袋,鱼类、胡萝卜、番茄、马铃薯、动物肝脏、豆类等富含维A和维B2等有益于眼睛保护的食物。,红薯、山药、红枣、香菇、鸡蛋、胡萝卜、海带、冬瓜、土豆、豆腐、猪肝、草鱼、鲈鱼、银鱼、鲤鱼、鲑鱼,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片、牛奶、鸡蛋,木瓜、薄荷、菊花、红茶、苹果、红枣,寒凉之物、辛辣食物。,山楂、香梨、鸭肉、猕猴桃、枸杞、甲鱼、田螺,
7,,五官,黑眼圈,鱼类、胡萝卜、番茄、马铃薯、动物肝脏、豆类等富含维A和维B2等有益于眼睛保护的食物。,红薯、山药、红枣、香菇、鸡蛋、胡萝卜、海带、冬瓜、土豆、豆腐、猪肝、草鱼、鲈鱼、银鱼、鲤鱼、鲑鱼,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片,红豆、黑芝麻、小麦、小麦粉、大米、玉米面、荞麦、燕麦片、牛奶、鸡蛋,木瓜、薄荷、菊花、红茶、苹果、红枣,寒凉之物、辛辣食物。,山楂、香梨、鸭肉、猕猴桃、枸杞、甲鱼、田螺,
8,,五官,睫毛短且稀疏,富含维生素E的食物、宜食富含酪氨酸的食物。,鸡肉、牛肉、猪肉、鲤鱼、鲫鱼、鲈鱼、鸡蛋、菠菜、莴笋、卷心菜、玉米、红薯、菠菜,玉米面、小麦、小麦粉、大米、粳米、荞麦、黄米,玉米面、小麦、小麦粉、大米、粳米、荞麦、黄米、牛奶、鸡蛋,腰果、南瓜子仁、葵花籽、核桃、花生、芝麻、猕猴桃、橘子,,,
9,,五官,口臭,属性偏凉的食物。,黄瓜、海带、香菇、芹菜、洋葱、莲藕、荸荠、白萝卜、白菜、菠菜,小米、玉米面、小麦、小麦粉、大米、粳米,小米、玉米面、小麦、小麦粉、大米、粳米、牛奶、鸡蛋、莲子,荔枝、绿茶、薄荷、酸奶、橘子、蜂蜜、柚子、柠檬、香梨、山楂、葡萄、苹果、香蕉,甘甜辛辣之品。,,
10,,五官,牙齿黑黄,含糖量低、纤维丰富、含有适量果酸的食物，宜食质地较硬的食物。,芹菜、胡萝卜、芥末、菠菜、洋葱、香菇、油菜、青椒、番茄、菜花,小米、玉米面、黄豆面、小麦、小麦粉大米、粳米,小米、玉米面、黄豆面、小麦、小麦粉大米、粳米、牛奶、鸡蛋,橙子、草莓、苹果、菠萝、绿茶、酸奶、香蕉、薄荷、猕猴桃、橘子、柠檬、柚子、山楂、普通,深色浆果，忌食色素较多的食物。,红茶、冰淇淋、红酒、咖啡、番茄酱、香醋、酱油,
