序号,人群,部位,自修项目,方法分类,方法名称,原料,制作方法,使用方法,
1,,整体,减肥塑形,药用奇方,茉莉花茶,茉莉花10克，玫瑰花10克，荷叶10克，草决明10克，枳壳10克，泽兰12克，泽泻12克，桑葚15克，补骨脂15克，何首乌15克。,上药用水煎。,\t每日1剂，每剂分2次代茶饮。,
2,,整体,减肥塑形,食疗药膳,黑木耳,黑木耳15-30克。,将黑木耳洗净，炖汤服，不加糖。,\t随意饮用。,
3,,整体,减肥塑形,食疗药膳,蜂蜜黄瓜汁,黄瓜200克，冬瓜200克，山揸50克，新橘皮30克，蜂蜜适量。,将黄瓜、冬瓜（去皮瓤）、山揸（去核）、橘皮洗净切成长块，用榨汁机榨取原汁，加入蜂蜜调匀。,\t每日1剂，当饮料饮用。,
4,,整体,减肥塑形,药用奇方,何首乌,何首乌10克，泽泻10克，丹参10克，绿茶10克。,将上4味加水煎，取汁。,\t每日1剂，代茶饮。,
5,,整体,减肥塑形,药用奇方,健美茶,山楂，厚朴，陈皮，枳实，六神曲，火麻仁。,每次10克，水煎代茶或开水冲泡饮服。,\t随意饮用。,
6,,整体,减肥塑形,药用奇方,健美茶（减肥）,普洱茶，乌龙茶，莱菔子，茯苓等。,每次1小袋，放入杯内开水冲泡，2-3分钟即可饮用。,\t每日饮用2袋。,
7,,整体,减肥塑形,食疗药膳,减脂茶,绿茶，山楂，荷叶等。,每次10克，开水冲泡或水煎代茶饮用。,\t每日2-3次。,
8,,整体,减肥塑形,食疗药膳,三花减肥茶,荷叶，番泻叶，玫瑰花，玳玳花，茉莉花，牵牛子。,每次10克，开水泡饮。,\t每日3次。,
9,,整体,减肥塑形,食疗药膳,减肥健身茶,决明子，山楂。,每次1包，开水冲泡。,\t每日3次。,
10,,整体,减肥塑形,食疗药膳,姬宝减肥茶,茶叶，盐百乐，南山楂，小豆花，茯苓，赤小豆。,用热开水冲饮，每次1小袋。,\t每日1-3次。,
11,,整体,减肥塑形,食疗药膳,宁红保健茶,上等宁红茶、决明子、山楂、山药等。,保健茶每日1小包；治疗每日2-4小包，开水冲泡，多次饮用。,\t随意饮用。,
12,,整体,减肥塑形,食疗药膳,荷叶灰饮,荷叶适量。,烧存性，研末，每次服6克，米饮调下。,\t每日3次。,
13,,整体,减肥塑形,食疗药膳,冬瓜羹,冬瓜。,作羹作腌菜。,\t经常食用。,
14,,整体,减肥塑形,食疗药膳,问荆茶,问荆，荷叶。,每次3克，开水冲泡代茶饮用。,\t随意饮用。,
15,,整体,增高,按摩疗法,自我按摩,,,\t1.干沐浴。只穿内衣，按摩全身。\n\t2.湿毛巾擦2分钟。\n\t3.捋、擀、拿、推。从四肢根部向末端推拿。,
16,,整体,增高,按摩疗法,极向按摩,,,\t睡觉前几分钟，肚脐是黄金点，是重要的通道和标志，分上下阴阳，上身向上按摩，下身向下按摩，10~20次。,
17,,整体,增高,气功疗法,混元潜能按摩,,,\t运用手法在人体皮、肉、筋、脉、骨自如的产生松紧、收放、开合的传导，放松肉体、血管，打开毛细血管及微循环。一般的体育运动只打开几百条微循环，普通按摩打开约一千条，高级的上万条，深度气功入定则可打开数万条至十万条微循环。与此同时，时刻感知病人内在气血、信息和身体的变化，随时调整自己的手法、能量强弱，及调动的方向，加速病人体内空间的能量重新组合新生、旺盛、健康。,
